Species,Oak1,Oak2,Oak3,Yew,Sitka,Norway,Mixed,Patchy,Swampy
Chaffinch,35,41,31,9,14,30,10,13,15
Robin,26,35,23,20,10,30,18,12,20
BlueTit,25,19,17,10,0,3,7,8,5
Goldcrest,21,27,17,21,30,65,15,22,11
Wren,16,8,1,5,4,20,10,14,10
CoalTit,11,9,8,14,6,11,4,6,5
SpottedFlycatcher,6,4,0,0,0,0,1,3,0
TreeCreeper,5,8,4,3,0,4,2,3,2
Blackbird,3,3,1,6,3,14,7,8,8
Siskin,3,2,2,2,7,2,3,5,4
Woodpigeon,3,8,2,0,0,9,2,2,3
LongtailedTit,3,3,1,2,0,3,1,1,3
GreatTit,3,3,2,9,0,0,4,3,2
SongThrush,2,0,0,6,0,5,3,3,6
HoodedCrow,2,1,0,0,0,0,0,1,0
Woodcock,2,1,1,0,0,0,1,0,0
Dunnock,1,0,0,0,0,0,1,2,1
MistleThrush,1,2,1,0,0,0,0,0,1
Sparrowhawk,1,1,1,1,0,0,0,0,0
Redstart,1,1,0,0,0,0,0,0,0
WillowWarbler,0,0,0,0,0,0,0,5,2
Bullfinch,0,0,0,0,0,0,0,1,1
Crow,0,0,0,0,0,1,0,0,1
Moorhen,0,0,0,0,0,0,0,2,0
ChiffChaff,0,1,0,0,1,0,2,3,0
Mallard,0,1,0,0,0,0,0,2,0
CommonSandpiper,0,3,0,0,0,0,0,0,0
GreyWagtail,0,1,0,0,0,0,0,0,0
Jay,0,0,0,1,0,0,0,0,0
LongEaredOwl,0,0,0,1,0,0,0,0,0
Redpoll,0,0,0,0,0,1,0,0,0
